-1,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5
0.25,584,634,113,29,7,1,0,0,0,0,0,0,0,0,0,0,0
0.75,20,1552,610,153,56,16,6,2,0,0,0,0,0,0,0,0,0
1.25,0,188,1397,123,25,9,7,3,0,0,0,0,0,0,0,0,0
1.75,0,1,621,501,8,2,1,1,0,0,0,0,0,0,0,0,0
2.25,0,0,14,709,18,1,0,0,0,0,0,0,0,0,0,0,0
2.75,0,0,0,286,224,1,0,0,0,0,0,0,0,0,0,0,0
3.25,0,0,0,10,314,2,0,0,0,0,0,0,0,0,0,0,0
3.75,0,0,0,0,190,34,0,0,0,0,0,0,0,0,0,0,0
4.25,0,0,0,0,17,121,0,0,0,0,0,0,0,0,0,0,0
4.75,0,0,0,0,0,77,1,0,0,0,0,0,0,0,0,0,0
5.25,0,0,0,0,0,26,11,0,0,0,0,0,0,0,0,0,0
5.75,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0
6.25,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
6.75,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
7.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
